Account;Tweet_Nr;Date_Time;Tweet;;;;;;;;
realDonaldTrump;1230557232615440000;20.02.2020 18:18;b'\xe2\x80\x9cThe decision not to prosecute Andy McCabe is utterly inexplicable.\xe2\x80\x9d @Judgenap  @HARRISFAULKNER @FoxNews';;;;;;;;
realDonaldTrump;1230541046360100000;20.02.2020 17:13;"b'\xe2\x80\x9cI don\xe2\x80\x99t think there\xe2\x80\x99s any chance whatsoever of Senator Sanders defeating President Trump.\xe2\x80\x9d Mini Mike Bloomberg. Mini there\xe2\x80\x99s even less chance especially after watching your debate performance last night of you winning the Democrat nomination...But I hope you do!'""";;;;;;;;
realDonaldTrump;1230514772338060000;20.02.2020 15:29;"b'John Kerry and Senator Chris Murphy grossly violated the Logan Act with respect to Iran. If a Republican did what they did there would be very serious ramifications!'""";;;;;;;;
realDonaldTrump;1230513001054090000;20.02.2020 15:22;"b'\xe2\x80\x9cThey say Roger Stone lied to Congress.\xe2\x80\x9d @CNN  OH I see but so did Comey (and he also leaked classified information for which almost everyone other than Crooked Hillary Clinton goes to jail for a long time) and so did Andy McCabe who also lied to the FBI! FAIRNESS?'""";;;;;;;;
realDonaldTrump;1230495013634630000;20.02.2020 14:10;b'This makes Mini Mike look good compared to his performance last night. Worst debate performance in history! https://t.co/oUTz9njZPg';;;;;;;;
realDonaldTrump;1230486093906110000;20.02.2020 13:35;b'A really great moment! https://t.co/wLGzGi34Rv';;;;;;;;
realDonaldTrump;1230484215344450000;20.02.2020 13:27;"b'This is the REAL Mini Mike. He admitted many times that he is \xe2\x80\x9ca fan of Donald Trump. He\xe2\x80\x99s a New York ICON.\xe2\x80\x9d Thank you Mike! https://t.co/KkqMdVMcdk'""";;;;;;;;
realDonaldTrump;1230471520553590000;20.02.2020 12:37;b'.@JRubinBlogger (Jennifer Rubin) the wacko \xe2\x80\x9cconservative\xe2\x80\x9d of the @washingtonpost must learn how to spell the name Bloomberg before it is too late &amp;;;;;;;;
realDonaldTrump;1230384588553210000;20.02.2020 06:52;b'https://t.co/eXpCUQDwU5';;;;;;;;
realDonaldTrump;1230376522663390000;20.02.2020 06:19;"b'Mini Mike Bloomberg\xe2\x80\x99s debate performance tonight was perhaps the worst in the history of debates and there have been some really bad ones. He was stumbling bumbling and grossly incompetent. If this doesn\xe2\x80\x99t knock him out of the race nothing will. Not so easy to do what I did!'""";;;;;;;;
realDonaldTrump;1230376132970630000;20.02.2020 06:18;"b'Thank you Arizona! With your help your devotion and your drive we are going to keep on working we are going to keep on fighting and we are going to keep ON WINNING! America is thriving like never before and the BEST IS YET TO COME! https://t.co/e3tlNLzU7p'""";;;;;;;;
realDonaldTrump;1230372246427860000;20.02.2020 06:02;b'\xe2\x80\x9cWhat has happened to Roger Stone should never happen to anyone in our Country again.\xe2\x80\x9d @TuckerCarlson @FoxNews';;;;;;;;
realDonaldTrump;1230351482827850000;20.02.2020 04:40;b'https://t.co/1XnhyX8jb2';;;;;;;;
realDonaldTrump;1230349601854500000;20.02.2020 04:32;"b'The Democrat party is the party of high taxes high crime open borders late-term abortion socialism blatant corruption and the total destruction of your Second Amendment. The Republican Party is the party of the American Worker the American Family and the American Dream! https://t.co/GhyS5MD8Q9'""";;;;;;;;
realDonaldTrump;1230344927449500000;20.02.2020 04:14;"b'A beautiful evening in Phoenix Arizona with Great American Patriots. THANK YOU! https://t.co/kZ9fDTBiXa'""";;;;;;;;
realDonaldTrump;1230303229381970000;20.02.2020 01:28;b'Wow! https://t.co/pXcAIFUt1u';;;;;;;;
realDonaldTrump;1230287400762340000;20.02.2020 00:25;"b'....for the wonderful job he has done and we look forward to working with him closely perhaps in another capacity within the Administration!'""";;;;;;;;
realDonaldTrump;1230287397377620000;20.02.2020 00:25;"b'I am pleased to announce that our highly respected Ambassador to Germany @RichardGrenell will become the Acting Director of National Intelligence. Rick has represented our Country exceedingly well and I look forward to working with him. I would like to thank Joe Maguire....'""";;;;;;;;
realDonaldTrump;1230285216217880000;20.02.2020 00:17;"b'I AM ON MY WAY SEE YOU SOON! https://t.co/EgUBqPNlYh'""";;;;;;;;
realDonaldTrump;1230280522363890000;19.02.2020 23:58;"b'Heading to Arizona big rally and big crowd! #MAGA #KAG2020'""";;;;;;;;
realDonaldTrump;1230186794576010000;19.02.2020 17:46;"b'Rod Blagojevich did not sell the Senate seat. He served 8 years in prison with many remaining. He paid a big price. Another Comey and gang deal! Thank you to @LisaMarieBoothe who really \xe2\x80\x9cgets\xe2\x80\x9d what\xe2\x80\x99s going on! @FoxNews'""";;;;;;;;
realDonaldTrump;1230177751954380000;19.02.2020 17:10;"b'Internal REAL Polls show I am beating all of the Dem candidates. The Fake News Polls (here we go again just like 2016) show losing or tied. Their polls will be proven corrupt on November 3rd just like the Fake News is corrupt!'""";;;;;;;;
realDonaldTrump;1230157993284530000;19.02.2020 15:51;"b'I would like to thank John Rood for his service to our Country and wish him well in his future endeavors! https://t.co/kPA1rYCKvp'""";;;;;;;;
realDonaldTrump;1230155765349920000;19.02.2020 15:42;"b'Highest Stock Market In History By Far!'""";;;;;;;;
realDonaldTrump;1230143683699170000;19.02.2020 14:54;"b'Is corrupt Bloomberg News going to say what a pathetic debater Mini Mike is that he doesn\xe2\x80\x99t respect our great farmers or that he has violated campaign finance laws at the highest and most sinister level with \xe2\x80\x9cpayoffs\xe2\x80\x9d all over the place?'""";;;;;;;;
realDonaldTrump;1230141397094690000;19.02.2020 14:45;b'Kerry &amp;;;;;;;;
realDonaldTrump;1230135934626050000;19.02.2020 14:23;"b'There must be JUSTICE. This can never happen to a President or our Country again! https://t.co/5epW4JPYkF'""";;;;;;;;
realDonaldTrump;1229921804992440000;19.02.2020 00:13;b'Congratulations to Eddie DeBartolo Jr. and your wonderful family of friends! https://t.co/IJu93xjiQS';;;;;;;;
realDonaldTrump;1229897691590580000;18.02.2020 22:37;b'...And this despite Fake Witch Hunts the Mueller Scam the Impeachment Hoax etc. With our Economy Jobs Military Vets 2A &amp;;;;;;;;
realDonaldTrump;1229897661555210000;18.02.2020 22:37;b'THANK YOU! #MAGA #KAG2020 https://t.co/uWMjL52f5O';;;;;;;;
realDonaldTrump;1229894633280260000;18.02.2020 22:25;"b'I hope the Federal Judges Association will discuss the tremendous FISA Court abuse that has taken place with respect to the Mueller Investigation Scam including the forging of documents and knowingly using the fake and totally discredited Dossier before the Court. Thank you!'""";;;;;;;;
realDonaldTrump;1229888362841980000;18.02.2020 22:00;"b'Mini Mike. No I would rather run against you!'""";;;;;;;;
realDonaldTrump;1229871184193280000;18.02.2020 20:51;"b'.....Mini is illegally buying the Democrat Nomination. They are taking it away from Bernie again. Mini Mike Major Party Nominations are not for sale! Good luck in the debate tomorrow night and remember no standing on boxes!'""";;;;;;;;
